tpep_pickup_date,hour_pickup,count,day_of_week,month_bin,pickup_bin
2022-01-24,15,5708,0,1,2
2022-01-24,16,5334,0,1,2
2022-01-24,17,5898,0,1,2
2022-01-24,18,5841,0,1,2
2022-01-24,19,4689,0,1,3
2022-01-24,20,3600,0,1,3
2022-01-24,21,2988,0,1,3
2022-01-24,22,2681,0,1,3
2022-01-24,23,1343,0,1,3
2022-01-25,0,905,1,1,0
2022-01-25,1,460,1,1,0
2022-01-25,2,240,1,1,0
2022-01-25,3,140,1,1,0
2022-01-25,4,172,1,1,0
2022-01-25,5,503,1,1,0
2022-01-25,6,1529,1,1,0
2022-01-25,7,3531,1,1,1
2022-01-25,8,4643,1,1,1
2022-01-25,9,4580,1,1,1
2022-01-25,10,4482,1,1,1
2022-01-25,11,4746,1,1,1
2022-01-25,12,5084,1,1,1
2022-01-25,13,5061,1,1,2
2022-01-25,14,5541,1,1,2
2022-01-25,15,6021,1,1,2
2022-01-25,16,5749,1,1,2
2022-01-25,17,6402,1,1,2
2022-01-25,18,6781,1,1,2
2022-01-25,19,5625,1,1,3
2022-01-25,20,4297,1,1,3
2022-01-25,21,4432,1,1,3
2022-01-25,22,3750,1,1,3
2022-01-25,23,1843,1,1,3
2022-01-26,0,1102,2,1,0
2022-01-26,1,551,2,1,0
2022-01-26,2,315,2,1,0
2022-01-26,3,207,2,1,0
2022-01-26,4,245,2,1,0
2022-01-26,5,522,2,1,0
2022-01-26,6,1624,2,1,0
2022-01-26,7,3614,2,1,1
2022-01-26,8,5075,2,1,1
2022-01-26,9,4871,2,1,1
2022-01-26,10,4955,2,1,1
2022-01-26,11,5056,2,1,1
2022-01-26,12,5496,2,1,1
2022-01-26,13,5544,2,1,2
2022-01-26,14,6339,2,1,2
2022-01-26,15,6736,2,1,2
2022-01-26,16,6262,2,1,2
2022-01-26,18,7651,2,1,2
2022-01-26,19,6344,2,1,3
2022-01-26,20,4862,2,1,3
2022-01-26,21,4687,2,1,3
2022-01-26,22,4150,2,1,3
2022-01-26,23,2290,2,1,3
2022-01-27,0,1424,3,1,0
2022-01-27,1,727,3,1,0
2022-01-27,2,415,3,1,0
2022-01-27,3,268,3,1,0
2022-01-27,4,239,3,1,0
2022-01-27,5,563,3,1,0
2022-01-27,6,1719,3,1,0
2022-01-27,7,3675,3,1,1
2022-01-27,8,4989,3,1,1
2022-01-27,9,4915,3,1,1
2022-01-27,10,4830,3,1,1
2022-01-27,11,4845,3,1,1
2022-01-27,12,5331,3,1,1
2022-01-27,13,5585,3,1,2
2022-01-27,14,6215,3,1,2
2022-01-27,15,6559,3,1,2
2022-01-27,16,6213,3,1,2
2022-01-27,17,7133,3,1,2
2022-01-27,18,7764,3,1,2
2022-01-27,19,6751,3,1,3
2022-01-27,20,5217,3,1,3
2022-01-27,21,5180,3,1,3
2022-01-27,22,4879,3,1,3
2022-01-27,23,2881,3,1,3
2022-01-28,0,2374,4,1,0
2022-01-28,1,1363,4,1,0
2022-01-28,2,829,4,1,0
2022-01-28,3,511,4,1,0
2022-01-28,4,353,4,1,0
2022-01-28,5,599,4,1,0
2022-01-28,6,1599,4,1,0
2022-01-28,7,3320,4,1,1
2022-01-28,8,4315,4,1,1
2022-01-28,9,4006,4,1,1
2022-01-28,10,4226,4,1,1
2022-01-28,11,4169,4,1,1
2022-01-28,12,4449,4,1,1
2022-01-28,13,5330,4,1,2
2022-01-28,14,6108,4,1,2
2022-01-28,15,6342,4,1,2
2022-01-28,16,5961,4,1,2
2022-01-28,17,6751,4,1,2
2022-01-28,18,7224,4,1,2
2022-01-28,19,6740,4,1,3
2022-01-28,20,4977,4,1,3
2022-01-28,21,4201,4,1,3
2022-01-28,22,4330,4,1,3
2022-01-28,23,3431,4,1,3
2022-01-29,0,3095,5,1,0
2022-01-29,1,2107,5,1,0
2022-01-29,2,1268,5,1,0
2022-01-29,3,824,5,1,0
2022-01-29,4,415,5,1,0
2022-01-29,5,185,5,1,0
2022-01-29,6,177,5,1,0
2022-01-29,7,281,5,1,1
2022-01-29,8,361,5,1,1
2022-01-29,9,515,5,1,1
2022-01-29,10,652,5,1,1
2022-01-29,11,890,5,1,1
2022-01-29,12,962,5,1,1
2022-01-29,13,1107,5,1,2
2022-01-29,14,1284,5,1,2
2022-01-29,15,1530,5,1,2
2022-01-29,16,1731,5,1,2
2022-01-29,17,1973,5,1,2
2022-01-29,18,2474,5,1,2
2022-01-29,19,2776,5,1,3
2022-01-29,20,2484,5,1,3
2022-01-29,21,2439,5,1,3
